Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	1.669329e-01	9.911692e-01	0	0	inf	inf	TENM1;ATP8A2;IL26;SIRPG;TREM2;PKD2;ADRA1A;RERG;SOX2;TNN;ADAMTS1;ADORA3;CYP1B1;IL12B;TNFRSF8;SLC16A2;ADAMTS8;CD33;IL10;MYOCD;IGFBP5;F2R;WNT5A;ITGA1;SOX11;OPRM1;NGF;RUNX3;FOXP3;SSTR3;SSTR4;GREM1;TGFBR3;AR;SFRP4;MN1;SFRP1;SFRP2;IFNG;ROR2;KANK2;FBLN1;AIF1;PTHLH;IFNL1;GPNMB;FRZB;PDPN;APOD;IGFBP7;NTRK1;CCL23;TGFB2;TGFB3;OSM;INHBA;PODN;GDF5;BMP5;IL6;FAP;WT1;SST;DLC1;OGN;BMPR1B;VIP;CD200;NODAL
GO_Biological_Process_2021	negative regulation of apoptotic process (GO:0043066)	1.759186e-01	9.911692e-01	0	0	inf	inf	FCMR;HTR2B;TREM2;FMN2;MPO;COMP;TCL1A;CLEC5A;PROK2;CD38;CTSG;IL10;MEF2C;NAT8B;HGF;OSR1;F2R;WNT5A;NGF;GREM1;SFRP1;HCLS1;ITGA5;CRYAB;CX3CR1;LEF1;NDNF;PIK3R1;GATA1;FSTL1;THBS1;NUGGC;FOXO1;PKHD1;NTF3;PDPN;CCL2;NCKAP1L;NTRK1;TNFSF18;NGFR;TSLP;ANGPT1;TGFB3;CAV1;NR1H4;CIDEA;GCG;AZU1;IGF1;IL2;DAB2;IL6;CD40LG;GDNF;WT1;AXL;IL2RB;WNK3;BCL2;CD28;SNAI2;CD27;GHRL;TEK;EVI2B;VIP
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	1.759186e-01	9.911692e-01	0	0	inf	inf	SIGLEC9;CD3G;TREM2;CXCL13;CD3E;ITGAL;CD3D;SPN;FCGR3A;FCGR3B;FCER1A;CD33;CD96;PIANP;RSAD2;ITGA4;FOXP3;CD200R1;CD8B;JAML;CD8A;IRF4;CD300E;CD226;CLEC4G;COLEC12;KLRB1;CD1D;KIR2DL1;LILRA1;CD1C;SAMHD1;CD1B;CD1A;KLRK1;IFNL1;CD19;CD300LB;LAIR2;SLAMF6;CD300LF;CD300LG;LAIR1;TGFB2;VCAM1;CRTAM;SH2D1A;LILRB1;LILRB2;COL1A1;TREML1;COL3A1;COL1A2;CD40LG;FCGR2A;SELL;TREML4;TNFSF4;TREML2;HLA-DRA;KLRD1;PDCD1;FCGR2B;FCGR2C;SIGLEC7;CD200;CD22
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	1.875538e-01	9.911692e-01	0	0	3.147172e+00	5.267389e+00	CD86;CNTFR;CSF2;CD80;F13A1;IL5RA;SLA;CXCL13;FGF2;SOX2;LEPR;TNFRSF8;IL12B;RSAD2;IL1R1;HGF;CSF1R;FPR1;CSF2RB;PIK3R1;CSF2RA;FOXO1;IL22RA2;RHEX;NDN;TNFRSF17;CD300LF;HLA-DQA2;HLA-DQA1;CCR1;TNFSF18;EGR1;VCAM1;TSLP;TNFRSF9;FN1;PPBP;IL2;CXCL10;IL6;COL1A2;CXCL12;TNFSF4;BCL2;HLA-DRA;CD27;TNFSF8;IL7R;IL21;CXCL6;CXCL9;TNFRSF13B;FLT3;IL26;IL24;FASLG;IL27;GHR;CTSG;LBP;CD36;CCR5;PF4V1;HLA-DPA1;CCR2;EDARADD;IL10;SERPINB2;FCER1G;MMP2;IL13;IL16;OPRM1;FCER2;GREM2;ZEB1;IFNG;IRF4;KIT;XCL2;LTA;CCL14;CCL13;CCL11;CAMK2A;SAMHD1;PSMA8;IL1RL1;CCL8;IFNL1;CCL7;CCL5;CCL4;CXCR2;IL21R;S1PR1;CCL2;NCAM1;CCL19;CCL18;CCL17;CCL16;CCL25;IL33;CCL23;CCL22;CCL21;IL10RA;OSM;LILRB2;LILRB4;CD4;CD40LG;IL2RA;LEP;IL2RB;HLA-DPB1;CRLF2
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	1.903004e-01	9.911692e-01	0	0	inf	inf	IL26;HTR2B;TREM2;HTR2A;FGF2;ADRA1A;BMPER;GLIPR2;CCR7;TNFAIP8L3;CCN2;CD36;PDGFRB;PDGFRA;F2R;OPRM1;ADCYAP1;HAND2;XCL2;ROR1;ROR2;CCL14;CSF1R;CCL13;CCL11;C5AR1;FPR2;PLA2G5;RASGRP1;APELA;CALCR;CCL8;THPO;CCL7;GPNMB;CCL5;PDGFC;CCL4;P2RY1;CCL2;CCL19;CCL18;CCL17;CCL16;SLAMF1;CCR1;CCL25;NTRK1;CCL23;CCL22;ANGPT1;CCL21;NTRK3;GPR55;PLA2G2A;SCIMP;CD4;PTPRC;FGF19;GPR183;TEK;FERMT2;NODAL;FGF10
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	1.913352e-01	9.911692e-01	0	0	3.119499e+00	5.158804e+00	CD86;ATP8A2;CSF2;SIRPG;FGF2;FGF5;FGF7;TCL1A;ADORA3;CYP1B1;PROK2;TNFRSF8;PROK1;PDGFRB;PDGFRA;F2R;SOX11;FOXP3;AR;SFRP4;SFRP1;SFRP2;AGTR1;ROR2;TSPYL5;CSF1R;PTGFR;PKHD1;NUAK1;THPO;CLEC7A;PDGFC;IGFBP7;WNT2;SLAMF1;TGFB2;TSLP;TGFB3;TNFRSF9;FN1;IGF2;IGF1;INHBA;IL2;BMP5;CXCL10;FGF16;IL6;NR4A3;GDNF;TNFSF4;FGF19;BCL2;IL7R;CD200;FGF10;FGFR1;ALK;IL21;TENM1;CXCL9;FLT3;ELN;HTR2B;ADRA1D;PRL;GLI1;PKD2;ADRA1A;RERG;ADAMTS1;ADAMTS8;CD33;IL10;MYOCD;CR1;ITGA1;GLP2R;AVPR1A;OPRM1;NGF;ECRG4;SSTR3;SSTR4;GREM1;IFNG;KIT;HCLS1;CCL14;KANK2;LEF1;PTN;AIF1;THBS1;PTHLH;IFNL1;GPNMB;FRZB;NTF3;CXCR2;PDPN;HAS2;S1PR3;NTRK1;CCL23;NTRK3;OSM;PODN;S100B;TSHR;WT1;SST;DLC1;GHRL;FOLR2;VIP;CRLF2
GO_Biological_Process_2021	axonogenesis (GO:0007409)	2.005275e-01	9.911692e-01	0	0	inf	inf	RET;ROBO2;SEMA5A;DRAXIN;PTPRO;GLI2;ROBO1;KIF5C;KIF5A;TNR;NEFH;EPHA5;EPHA6;DSCAM;SEMA6D;WNT5A;UNC5C;GFRA1;UNC5D;GFRA2;ACTBL2;DOK5;PALLD;FEZ1;MAP1B;DOK6;MAP1A;PRKCQ;EPHA3;NLGN3;LAMA2;SEMA3C;SEMA3D;ATL1;PLPPR4;NRXN1;SEMA3A;NRXN3;SEMA3G;NEXN;SEMA3E;PIK3R1;NTN3;SPTA1;RELN;SLITRK2;SLITRK1;SLITRK4;SLITRK3;SLITRK5;NCAM1;SLIT3;CTNNA2;SLIT2;NTNG1;LGI1;CNTN6;S100B;CXCL12;GDNF;CNTN2;CNTN4
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	2.112974e-01	9.911692e-01	0	0	inf	inf	TENM2;MYT1L;PRDM6;TCF23;TCF21;FASLG;LDB2;GLI3;GLI2;SOX2;EDNRB;ZNF366;DACT1;EOMES;FOXD3;MEF2C;NKX6-3;MLIP;KLF12;PEG3;OSR1;ARID5B;SOX11;MITF;DUSP26;SOX10;FOXP3;RUNX3;FOXP2;AR;ZEB2;ZEB1;IFNG;HAND1;TFEC;ZFPM2;KANK2;AEBP1;GATA1;HDAC9;TBX21;ZBED2;ZIM2;IL33;CAV1;NR2F1;NR1H4;IGF2;PARP15;LILRB4;ESR1;KLF8;DAB2;NR4A3;WT1;SNAI1;ID4;SNAI2;FOSB;ZNF536
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	2.112974e-01	9.911692e-01	0	0	inf	inf	RET;SEMA5A;FAM107A;MYLK;GLIPR2;CCN4;CCN1;CCR2;PDGFRB;PDGFRA;MMP7;MYOC;HGF;SEMA6D;F2R;SMO;IFNG;KIT;PECAM1;ROR2;DDR2;LRRC15;CSF1R;CCL11;SEMA3C;SEMA3D;SEMA3A;LEF1;TWIST2;SEMA3G;SEMA3E;AIF1;THBS1;APELA;GPNMB;CCL7;CLEC7A;CCL5;PDGFC;NTF3;PDPN;HAS2;NCKAP1L;CCR1;TNFSF18;TGFB2;CAV1;NTRK3;RDX;FN1;IGF1;COL1A1;DAB2;CXCL12;PTPRC;SNAI1;CASS4;SNAI2;FERMT2;FGF10
GO_Biological_Process_2021	negative regulation of inflammatory response (GO:0050728)	2.226384e-01	9.911692e-01	0	0	inf	inf	GLP1R;VIPR2;TNFAIP6;CD3G;TREM2;MC4R;C1QTNF3;CYSLTR1;FCGR3A;HTR7;TNFAIP8L2;PTGDR;IL10;GHSR;PTGIS;IL13;ADIPOQ;GLP2R;GPR31;GIP;ADCYAP1;CD200R1;ADRB3;IAPP;ADCYAP1R1;CALCRL;ADCY2;FPR2;AOAH;ADRB2;GPR84;MEFV;CRHR1;PTHLH;ADCY5;MC2R;CALCR;GNG2;HRH2;SLAMF8;NLRP3;DRD5;CD163;GPR15;SIGLEC10;NR1H4;GCG;IGF1;TSHR;NLRP12;IL6;LRFN5;FCGR2A;MC5R;GHRL;TEK;VIP;CD200
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	2.240587e-01	9.911692e-01	0	0	2.898750e+00	4.336087e+00	CD86;CNTFR;RIPOR2;PID1;CSF2;CD80;F13A1;IL5RA;SLA;AQP4;FGF2;SOX2;CRHBP;TCL1A;DPYSL3;LEPR;IL12B;GBP6;GBP5;IL1R1;HGF;WNT5A;SFRP1;CSF1R;FPR1;HMHB1;CSF2RB;PIK3R1;ADAMTS12;CSF2RA;FOXO1;IL22RA2;RHEX;NDN;CCR1;EGR1;VCAM1;PYHIN1;FN1;IL2;CXCL10;IL6;COL1A2;CXCL12;BCL2;PTPRT;FLT3;IL26;IL24;FASLG;GHR;ANKRD1;CCR7;CTSG;LBP;CD36;CCR5;HLA-DPA1;CCR2;IL10;PTGIS;DUSP1;MMP2;IL13;IL16;OPRM1;FCER2;DCSTAMP;GREM2;ZEB1;IRF4;IL1RAPL1;KIT;XCL2;HCLS1;TLR4;CCL14;CCL13;CCL11;LEF1;AKAP6;AIF1;CCL8;IFNL1;CCL7;CCL5;CCL4;S1PR1;HAS2;CCL2;CCL19;CCL18;CCL17;CCL16;CCL25;CCL23;CCL22;CCL21;IL10RA;OSM;IRGM;NLRP12;CD4;AXL;IL2RA;IL2RB;MNDA;PTPN5;CRLF2
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	2.345806e-01	9.911692e-01	0	0	inf	inf	FCMR;HTR2B;TREM2;FMN2;MPO;COMP;TCL1A;CLEC5A;PROK2;CD38;IL10;NAT8B;HGF;OSR1;WNT5A;NGF;GREM1;SFRP1;CRYAB;KANK2;LEF1;PIK3R1;GATA1;FSTL1;THBS1;NUGGC;FOXO1;PKHD1;PDPN;NCKAP1L;TNFSF18;NTRK1;NGFR;TSLP;ANGPT1;LAPTM5;NR1H4;GCG;AZU1;IGF1;IL2;DAB2;IL6;CD40LG;GDNF;AXL;WT1;WNK3;IL2RB;CD28;BCL2;CD27;GHRL;TEK;EVI2B;VIP
GO_Biological_Process_2021	positive regulation of signal transduction (GO:0009967)	2.345806e-01	9.911692e-01	0	0	inf	inf	CD80;ITGB3;LRRK2;TREM2;SLC2A4;GLI1;PKD2;ROBO1;RIMS2;RIMS1;ADAMTS3;RSPO2;RSPO3;RSPO1;DACT1;CCBE1;PTGIS;PRKCB;LMO3;ADIPOQ;CD180;MN1;SFRP1;EVC;SMO;CD226;ITGA5;SHANK1;NLGN3;NLGN1;NRXN1;KLK5;LY96;PIK3R1;RELN;NTF3;TGFB2;TSLP;PDE6G;NTRK3;IGF2;LY86;IGF1;SORBS1;SULF1;SCIMP;SMOC2;GH1;IL6;PTPRC;AXL;CLEC6A;GHRL;TEK;IL7R;CRLF2
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	2.516632e-01	9.911692e-01	0	0	2.733930e+00	3.771904e+00	SEMA5A;CD86;CD80;FGF2;FGF5;SOX2;GJA1;FGF7;IL12B;PDGFRB;PDGFRA;PRKCB;HGF;ADIPOQ;F2R;WNT5A;SOX11;IAPP;ROR1;PRKD1;ROR2;TSPYL5;LPAR1;PIK3R1;ADRB2;PIK3R5;CALCR;THPO;CLEC7A;CD19;PDGFC;S100A12;ICOS;KL;TGFB2;CAV1;FN1;IGF2;IGF1;ESR1;SELP;FGF16;GH1;IL6;PTPRC;CLEC6A;FGF19;BCL2;CD28;CASS4;CD27;FERMT2;FGF10;FGFR1;RET;FLT3;IL26;SCHIP1;HTR2B;ADRA1D;FASLG;TREM2;ADRA1A;PIK3CG;CCR7;TNFAIP8L3;MYOC;FCRL3;TNFRSF19;WNT16;DCN;ADRB3;KIT;HCLS1;TLR7;TLR4;CX3CR1;NLGN1;THBS1;LILRA5;RELN;CCL5;NTF3;CCL4;CCL19;LURAP1;P2RY12;NTRK1;CCL21;ANGPT1;TRAT1;NTRK3;LAPTM5;OSM;SEPTIN4;S100B;P2RX5;NLRP12;CD4;P2RX2;AXL;LEP;TEK
GO_Biological_Process_2021	axon guidance (GO:0007411)	2.536900e-01	9.911692e-01	0	0	inf	inf	RET;ROBO2;SEMA5A;DRAXIN;PTPRO;GLI2;ROBO1;KIF5C;KIF5A;TNR;PLXNC1;EPHA5;EPHA6;DSCAM;SEMA6D;WNT5A;RHOH;UNC5C;GFRA1;UNC5D;GFRA2;TMEFF1;GAP43;SMO;DOK5;PALLD;FEZ1;DOK6;PRKCQ;EPHA3;LAMA2;SEMA3C;SEMA3D;NRXN1;SEMA3A;NRXN3;SEMA3G;NEXN;SEMA3E;PIK3R1;NTN3;SPTA1;RELN;NCAM1;SLIT3;SLIT2;PLXNA4;LGI1;CNTN6;CXCL12;GDNF;CNTN2;CNTN4
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	2.603955e-01	9.911692e-01	0	0	inf	inf	RET;SEMA5A;FAM107A;MYLK;CCR7;CCN1;PDGFRB;PDGFRA;MMP7;MYOC;HGF;SEMA6D;F2R;SMO;KIT;PECAM1;ROR2;LRRC15;CSF1R;CCL11;SEMA3C;SEMA3D;SEMA3A;LEF1;TWIST2;SEMA3G;SEMA3E;AIF1;THBS1;GPNMB;CCL7;CLEC7A;CCL5;PDGFC;NTF3;PDPN;HAS2;CCL19;CCR1;CAVIN1;CCL21;CAV1;NTRK3;RDX;IGF1;COL1A1;DAB2;CXCL12;SNAI1;CASS4;SNAI2;FERMT2
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	2.614829e-01	9.911692e-01	0	0	2.679131e+00	3.593750e+00	PID1;SERPINE1;RORB;FGF2;SOX2;CCN1;EOMES;LMO1;MEF2C;NKX6-3;MLIP;OSR1;HGF;WNT5A;SOX11;MITF;FOXP3;NPAS4;AR;ADCYAP1;SFRP2;RFX6;LMX1A;PGR;PRKD1;ERG;ZFPM2;BEX1;GATA5;PIK3R1;GATA1;FOXO1;NEUROD1;GALR1;NLRP3;WNT2;NGFR;EGR1;EGR2;TGFB2;FOXF1;TGFB3;NR2F1;IGF2;SMAD9;NFATC1;IGF1;INHBA;ESR1;PHOX2B;BMP5;PHOX2A;CXCL10;IL6;DAB2;NR4A3;GDNF;TCF4;BMPR1B;IL26;TCF21;FHL5;LDB2;PRL;GLI1;MEOX2;PKD2;GLI3;GLI2;NOS1;VENTX;IL10;FOXD3;MYOCD;PEG3;DCN;RGMA;GREM1;ZEB2;GAL;IRF4;TAL1;HAND2;HAND1;TFEC;HCLS1;TLR4;HLF;CEBPE;LEF1;WAS;RXRG;IL33;OSM;NR1H4;LILRB1;HEYL;WT1;TNIP3;ASXL3;MIXL1
GO_Biological_Process_2021	cellular response to lipid (GO:0071396)	2.672760e-01	9.911692e-01	0	0	inf	inf	RET;CD86;CXCL6;CXCL9;PID1;CD80;SERPINE1;RORB;CXCL13;CRHBP;ANKRD1;PDE4B;CTSG;LBP;CCR5;PF4V1;IL10;MEF2C;CD180;WNT5A;WNT9B;PDCD1LG2;AR;SFRP1;MGARP;TLR4;EPHA3;CX3CR1;UCP1;LY96;ADCY2;ATP1A2;NUGGC;ADCY5;NLRP3;STAP1;CCL2;BRINP3;WNT2;FZD7;NR1H4;LILRB1;PPBP;LILRB2;ESR1;IRGM;CXCL10;IL6;AXL;TNFSF4;TNIP3
